Optimization,Result
-scev-aa -codegenprepare -dce -deadargelim, secure
-adce -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -codegenprepare -dce -deadargelim, secure
-always-inline -codegenprepare -dce -deadargelim, secure
-scev-aa -always-inline -codegenprepare -dce -deadargelim, secure
-adce -always-inline -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -always-inline -codegenprepare -dce -deadargelim, secure
-argpromotion -codegenprepare -dce -deadargelim, secure
-scev-aa -argpromotion -codegenprepare -dce -deadargelim, secure
-adce -argpromotion -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -argpromotion -codegenprepare -dce -deadargelim, secure
-always-inline -argpromotion -codegenprepare -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -codegenprepare -dce -deadargelim, secure
-adce -always-inline -argpromotion -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -dce -deadargelim, secure
-break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -break-crit-edges -codegenprepare -dce -deadargelim, secure
-adce -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -break-crit-edges -codegenprepare -dce -deadargelim, secure
-always-inline -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -dce -deadargelim, secure
-adce -always-inline -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -dce -deadargelim, secure
-argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-adce -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-adce -always-inline -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -codegenprepare -dce -deadargelim, secure
-constmerge -dce -deadargelim, secure
-scev-aa -constmerge -dce -deadargelim, secure
-adce -constmerge -dce -deadargelim, secure
-scev-aa -adce -constmerge -dce -deadargelim, secure
-always-inline -constmerge -dce -deadargelim, secure
-scev-aa -always-inline -constmerge -dce -deadargelim, secure
-adce -always-inline -constmerge -dce -deadargelim, secure
-scev-aa -adce -always-inline -constmerge -dce -deadargelim, secure
-argpromotion -constmerge -dce -deadargelim, secure
-scev-aa -argpromotion -constmerge -dce -deadargelim, secure
-adce -argpromotion -constmerge -dce -deadargelim, secure
-scev-aa -adce -argpromotion -constmerge -dce -deadargelim, secure
-always-inline -argpromotion -constmerge -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -constmerge -dce -deadargelim, secure
-adce -always-inline -argpromotion -constmerge -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -constmerge -dce -deadargelim, secure
-break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -break-crit-edges -constmerge -dce -deadargelim, secure
-adce -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -adce -break-crit-edges -constmerge -dce -deadargelim, secure
-always-inline -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -constmerge -dce -deadargelim, secure
-adce -always-inline -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -constmerge -dce -deadargelim, secure
-argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-adce -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
